doc_id,stock_code,company_name,year_range,year_list,valid_year_count,rank,term,tfidf_weight
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,11,金融 运营商,0.06254555606987615
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,12,威胁,0.06235881718722021
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,13,安全 大数据,0.06224194668817655
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,14,提供 移动,0.06074852693122568
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,15,攻击,0.06022830327735558
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,16,技术 移动,0.05875644170594141
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,17,安全漏洞,0.058657437511152634
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,18,信息安全 技术,0.05816622487826859
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,19,测评,0.057907595166089246
000004_5Y,000004,国华网安,2020-2024,"2020,2021,2022,2023,2024",5,20,长期 跟踪,0.057307447276743265
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,1,智慧 空间,0.2062361695738546
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,2,酒店 经营,0.14268877077994968
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,3,物管,0.13948289490249333
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,4,物业管理 服务,0.1383368206769612
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,5,不动产,0.13648497861548142
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,6,拥有 完全,0.11420083621003121
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,7,生物质,0.11307246520521025
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,8,土地 开发,0.11062786532122512
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,9,合成 生物,0.10869195604322446
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,10,租赁 服务,0.10861333488295181
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,11,物业管理,0.10783222360926074
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,12,水资源,0.10558571611616378
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,13,日向,0.10542254912275881
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,14,商业 管理,0.10501739767361723
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,15,结束,0.10379959118442433
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,16,权益 投资,0.10274379705469218
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,17,开发 投资,0.09884987024985505
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,18,工程 监理,0.09878894684907588
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,19,投资 管理,0.09723301789427731
000005_5Y,000005,ST星源,2020-2022,"2020,2021,2022",3,20,所有权,0.09495291851285209
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,1,房地产 产业链,0.11980790665344675
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,2,房地产开发经营,0.10263512526510823
000006_5Y,000006,深振业A,2020-2024,"2020,2021,2022,2023,2024",5,3,累计 开发,0.10219002950637747
