company_name,stock_code_norm,盈利能力指标_score_5y_mean,盈利能力指标_score_2024,盈利能力指标_score_change,盈利能力指标_score_volatility,资产使用效率_score_5y_mean,资产使用效率_score_2024,资产使用效率_score_change,资产使用效率_score_volatility,流动性指标_score_5y_mean,流动性指标_score_2024,流动性指标_score_change,流动性指标_score_volatility,现金创造能力指标_score_5y_mean,现金创造能力指标_score_2024,现金创造能力指标_score_change,现金创造能力指标_score_volatility,偿债能力_score_5y_mean,偿债能力_score_2024,偿债能力_score_change,偿债能力_score_volatility,股东收益指标_score_5y_mean,股东收益指标_score_2024,股东收益指标_score_change,股东收益指标_score_volatility,composite_score_5y_mean,composite_score_2024,composite_score_change,composite_score_volatility,盈利能力指标_score_trend_label,资产使用效率_score_trend_label,流动性指标_score_trend_label,现金创造能力指标_score_trend_label,偿债能力_score_trend_label,股东收益指标_score_trend_label,composite_score_trend_label
GQY视讯,300076.0,0.19838261648651065,0.1099497066219614,-0.4315292389800817,0.17244360580113874,0.2763929900402044,0.3478180250107805,0.01484132095556051,0.08116367631577635,0.954584462165078,0.9331503819340008,-0.049707570418748404,0.027087623938430082,0.29724554181037444,0.327967967967968,0.25763780062287533,0.1428185149331712,0.6698014105230726,0.6533333333333333,-0.020074157900445533,0.011029145033411384,0.21321927904818905,0.1798828981440144,-0.187328761272841,0.08043542478652661,0.4349377166789048,0.4253503855020097,-0.06936010116561347,0.030706514318217342,持续落后,持续落后,持续领先,持续落后,持续领先,持续落后,其他
ST三圣,2742.0,0.09700289217733568,0.037037037037037,-0.2027527510491885,0.07460702588520196,0.5035500616766542,0.4815604443895137,0.054700154388934386,0.04510655864883423,0.06976402556838893,0.037037037037037,-0.11547621483513948,0.04211020452729463,0.26562756537833054,0.2327012641383898,-0.1847194061814776,0.08486602686947677,0.27607392812059983,0.3014346126076718,0.036199358354559286,0.04404772329107486,0.2048397889798704,0.0771331025859658,-0.3136530929335487,0.12011099260680753,0.23614304365019662,0.1944839162992692,-0.12095032537597677,0.041735474351612505,持续落后,其他,持续落后,持续落后,持续落后,持续落后,持续落后
ST三盛,300282.0,0.18670009673873386,,,0.11460961063465498,0.3000919600228404,,,0.0762549059719861,0.7825697497828475,,,0.14750475549999026,0.3969030363995965,,,0.12553825224320345,0.5155364667240022,,,0.19867932922799592,0.426223063544072,,,0.15680626857449007,0.43467072886868213,,,0.03775062950514701,数据不足,数据不足,数据不足,数据不足,数据不足,数据不足,数据不足
ST世茂,600823.0,0.3892073234795669,,,0.3080095633339595,0.18883152327930092,,,0.07780605400846502,0.1517709716956937,,,0.03369997717519408,0.3789968912320559,,,0.17107983239167085,0.531577624982307,,,0.238288174846837,0.4480718622484318,,,0.12466345921326102,0.34807603281955934,,,0.12107182359527831,数据不足,数据不足,数据不足,数据不足,数据不足,数据不足,数据不足
ST世龙,2748.0,0.38622636536292754,0.4833412322274881,0.4425108512916389,0.17430566556787172,0.6128220827298919,0.7707789281970622,0.2976963323268558,0.09451455537179908,0.37251669674589416,0.3701200998529073,0.0735485541026007,0.050990321047390125,0.5276142369500495,0.7809734513274337,0.626054234198838,0.29384075906888835,0.4815193036432369,0.5870678687668256,0.3285597603540194,0.1242915984013076,0.5078038307458212,0.6282224983549871,0.3857229759662897,0.13842370129620668,0.4814170860296369,0.6034173464544507,0.35901545137337365,0.12749074958903409,其他,持续领先,持续落后,波动较大,改善追赶,改善追赶,改善追赶
ST东时,603377.0,0.45196471905068697,0.04,-0.7920002709569328,0.31466447703655165,0.43427840278874186,0.5184596169858452,0.05341092677980108,0.09157774435847264,0.13897262996762821,0.0643051914225023,-0.1238779053949857,0.04709530051325325,0.6565919047910673,0.4363461581266518,-0.5021973990421322,0.18822883707635862,0.4540094097068918,0.2510215048914265,-0.39358802239544766,0.13702588239563404,0.5514958240814395,0.298722256387594,-0.49268832910610527,0.1814012479285752,0.44788548173107595,0.2681424546356699,-0.37515683335263383,0.14033215711377825,波动较大,其他,持续落后,优势收窄,其他,其他,其他
ST中嘉,889.0,0.18614789278057942,0.0769230769230768,-0.297546392219531,0.11099827862830224,0.5636478227750521,0.5545111032647905,0.04248704689567839,0.04170289076217864,0.3411046336204541,0.1962503145486837,-0.23220300827504892,0.0819763102214995,0.4458862638282527,0.2845303867403315,-0.5946362799263352,0.22551973702659275,0.30946851242456,0.2344268983674305,-0.17870020525326932,0.07106886205688477,0.3146866011797116,0.1540075779927726,-0.4789861247378841,0.17193584335722034,0.36015695443476836,0.2501082263061809,-0.28993082725273167,0.09812871551896997,持续落后,其他,持续落后,波动较大,持续落后,持续落后,持续落后
ST中泰,2092.0,0.22414718040181322,0.3812322274881517,0.2462601562139896,0.08461165142143802,0.43682418413951185,0.221033387504028,-0.5467531305774753,0.2035393753333694,0.15628118599201163,0.0964079868282704,-0.09932368848710921,0.03776019575912745,0.4398433019055329,0.4482300884955751,0.1250723320263778,0.11215245870569168,0.32005455406126426,0.425752253937798,0.17412892730493879,0.061435865535820235,0.692683911111334,0.8190892340867925,0.0714479178525006,0.12912318575033127,0.37830571960191134,0.3986241963901026,-0.004861247611129715,0.023475483141602787,持续落后,波动较大,持续落后,其他,其他,持续领先,持续落后
ST中珠,600568.0,0.10029835696052367,0.0388133656610291,-0.3203872848126772,0.12948230266647148,0.1823010549204847,0.1940769426104621,-0.0022833741723899126,0.02098000376308077,0.8749626353963713,0.8767520165644537,-0.04517139527430469,0.03897436160356932,0.3176704439145718,0.245813681796547,-0.5720671926256409,0.26006048767539386,0.6701494088736781,0.6666666666666666,-0.013044713431189181,0.00815678897953567,0.15302129257619468,0.1093067438831345,-0.3260879107691106,0.14243586772456387,0.3830671987736373,0.3552382361970489,-0.21317364518088516,0.09541569211264353,持续落后,持续落后,持续领先,波动较大,持续领先,持续落后,持续落后
ST中装,2822.0,0.5221917308578979,0.1416150823261582,-0.5958903444275363,0.2536592558686314,0.4597958201160351,0.3135093166318807,-0.1730596774012249,0.0992384955289982,0.7031045956766642,0.3873663094179819,-0.3588303411010124,0.17083103724331156,0.2742438465135154,0.3717526053827575,0.1945703695481481,0.11168789516428848,0.5121448589556973,0.3261241122498122,-0.2554905375320715,0.14601041933187303,0.40676321970006546,0.20361849317551,-0.2177083365305642,0.12348678219418109,0.4797073453033126,0.2906643198640168,-0.2344014779073768,0.1054270620748447,波动较大,其他,优势收窄,持续落后,其他,其他,其他
