code,shortname,accper,typrep,总资产利润率ROA,权益资本利润率ROE,息税前利润EBIT,息税折旧摊销前收入EBITDA,投入资本利润率ROIC,营业利润率,销售利润率,EBITDA利润率,总资产盈利能力,应收账款周转率,应收账款周转天数,存货周转率,存货周转天数,应付账款周转率,营运资本周转率,固定资产周转率,总资产周转率,流动比率,速动比率,现金比率,营运资本,利息保障倍数,现金流利息保障倍数,资产负债率,长期负债权益比率,营运资本需求量比率,营运资本周转天数,销售创现率,利润创现率_净利润,利润创现率_息税前利润,总资产创现率,每股分红,总资产负债率,每股收益,每股净资产,市盈率,权益资产比,权益负债比,每股经营现金流,stock_code_norm,company_name,model_level1_code,model_level2_code,model_level3_code,industry_code
4,国华网安,2020,A,0.039647,0.042552,61204727.97,67826171.27,0.042048,0.223529,0.22097483,0.24177781,0.039144397,0.889907,411.278931,14.109968,25.939109,2.726817,0.648983,140.817184,0.179418,5.195587,5.147918,1.747122,432262161.6,,,0.068264,0.002544,0.27645972,562.41846,0.014165728,0.064105615,0.064928412,0.002541584,0,0.068264,0.375579,8.826447,55.114908,0.931732,13.649071,0.024076723,4,国华网安,L1_003,L1_003_S06,L1_003_S06_S01,L1_003_S06_S01
4,国华网安,2021,A,-0.45794,-0.536333,-504226005.5,-496616506.3,-0.533833,-1.730406,-1.7601132,-1.7187282,-0.45402452,0.779661,468.152184,6.160708,59.246437,2.308017,0.629134,118.08105,0.260176,3.934657,3.803,1.049744,459272520.1,,,0.146164,0.006144,0.41354668,580.1626,0.010734016,-0.00609848,-0.006151074,0.002792738,,0.146164,-3.26003,6.078374,,0.8538397,5.841635,0.019881228,4,国华网安,L1_003,L1_003_S06,L1_003_S06_S01,L1_003_S06_S01
4,ST 国华,2022,A,-1.035734,-1.690548,-617559043.1,-606466694.6,-1.623966,-3.668745,-3.5800788,-3.6432459,-1.0732864,0.549332,664.44336,90.637597,4.027026,0.928094,0.559495,73.290715,0.289305,2.412154,2.406694,0.606702,297524362.3,,,0.387338,0.034558,0.51708227,652.37402,-0.19849648,0.055444721,0.053504806,-0.05742598,,0.387338,-4.485966,2.653558,,0.61266249,1.581723,-0.24872315,4,国华网安,L1_003,L1_003_S06,L1_003_S06_S01,L1_003_S06_S01
4,国华网安,2023,A,-0.387294,-0.825951,-177273229.9,-165635200.7,-0.72271,-1.387391,-1.4550518,-1.5051103,-0.42876652,0.60665,601.664881,40.233636,9.072011,0.520052,0.851207,69.00526,0.266172,1.662986,1.657039,0.461019,129285291.2,,,0.531094,0.126765,0.31269923,428.80286,-0.32759097,0.22514041,0.20336354,-0.087195471,,0.531094,-1.209594,1.464486,,0.46890679,0.882907,-0.2723285,4,国华网安,L1_003,L1_003_S06,L1_003_S06_S01,L1_003_S06_S01
4,国华网安,2024,A,-0.440918,-1.88193,-158863750,-153808828.5,-1.169206,-1.534876,-1.3908066,-1.558973,-0.51047325,1.253586,291.962418,4.361967,83.9071,0.22959,,8.780156,0.317023,0.86923,0.843267,0.349791,-26315047.34,-1067.027362,-111.978729,0.76571,0.508338,-0.084557541,,-0.16898265,0.12149975,0.10494457,-0.053571396,,0.76571,-1.03654,0.550786,,0.23429026,0.305978,-0.12593935,4,国华网安,L1_003,L1_003_S06,L1_003_S06_S01,L1_003_S06_S01
5,世纪星源,2019,A,0.058875,0.102451,228193015.7,247279876.5,0.094402,0.362407,0.32301068,0.44747704,0.075265497,1.328764,274.691367,0.930785,392.142117,1.156487,1.756702,17.936822,0.182268,1.24519,0.896397,0.051024,314571866.4,8.49825,0.457504,0.425337,0.003779,0.10375606,207.77571,0.022230538,0.06882292,0.053835116,0.004051927,0,0.425337,0.168628,1.645938,18.32439,0.5746631,1.351074,0.01160547,5,ST星源,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
5,世纪星源,2020,A,-0.156464,-0.289796,-363122091.1,-350382598.7,-0.21918,-0.964666,-0.96814322,-0.87832564,-0.14710963,1.226809,298.334949,23.467375,15.59612,1.000937,1.648678,14.114915,0.161613,1.214773,1.202708,0.087403,241964270.2,-16.729139,5.361366,0.460089,0.006806,0.098025635,221.3895,0.2917209,-0.30131999,-0.32048067,0.047145791,,0.460089,-0.364855,1.259005,,0.53991014,1.173491,0.10993811,5,ST星源,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
5,ST 星源,2021,A,0.056362,0.094538,182183387.7,195400348.4,0.079929,-0.011365,0.36361915,0.5094704,0.073627971,2.362233,154.514817,20.516805,17.790294,1.181759,0.894421,14.755344,0.155003,1.471567,1.455407,0.101275,428809641.6,,,0.403818,0.060921,0.17330001,408.08524,0.72768617,2.0012319,1.5319399,0.11279362,0,0.403818,0.131749,1.393602,17.457446,0.59618205,1.476362,0.26366028,5,ST星源,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
5,ST 星源,2022,A,-0.061852,-0.123004,-176135173.6,-165307472.2,-0.090669,-0.336048,-0.56723654,-0.58259445,-0.067687288,1.782764,204.73826,22.5459,16.189196,0.891872,0.420044,12.441895,0.10904,1.825075,1.81171,0.079912,675510042.5,,,0.497159,0.362997,0.25959292,868.9566,0.035286337,-0.062207449,-0.056844264,0.003847634,,0.497159,-0.152049,1.236128,,0.50284106,1.011428,0.009458581,5,ST星源,L1_017,L1_017_S01,L1_017_S01_S01,L1_017_S01_S01
6,深振业A,2019,A,0.053544,0.117579,1230465060,1274858032,0.085769,0.29706,0.22594221,0.34166315,0.078147985,246.239153,1.482299,0.256858,1421.018617,2.532966,0.509604,283.872783,0.23698,2.420668,0.876418,0.578229,7322015513,9.641576,-1.522142,0.544612,0.477135,0.46502802,716.24243,-0.052061033,-0.23041749,-0.15787275,-0.012337437,0.179,0.544612,0.624495,5.3113,8.582937,0.45538792,0.836169,-0.14389457,6,深振业A,L1_011,L1_011_S01,L1_011_S01_S01,L1_011_S01_S01
